Kp,Ki,Kd,Perf
1.703279497057253309e+02,1.996049264800992518e+01,3.712176737693847883e+01,1.130799409387199361e+01
1.011958154305393798e+01,1.265516509506251275e+01,4.333279531178180122e+01,3.362147392042676586e+01
8.171728359615222814e+01,2.942794687821002064e+00,3.341966722653288002e+01,1.074673059905247996e+01
2.761071750694128113e+01,1.197863201222060248e+01,2.762162081931289137e+01,8.582380217561246027e+00
7.510023079006208491e+01,4.311153749934377721e+00,4.400064829630775876e+01,8.868780539360649584e+00
1.161026761494122894e+02,2.034645093224660695e+00,1.887831764079265895e+01,8.927964993769730739e+00
3.203051903819542900e+01,1.779813347379281652e+01,1.363007146685678528e+01,8.392571843211449334e+00
1.352288484400836523e+02,1.066401785552151260e+00,1.212771838502360033e+01,9.171222162836640379e+00
6.881692915255428034e+01,1.805175604909160114e+01,1.133535825789072149e+01,8.209572938030705203e+00
3.198418868390066550e+01,1.558910296975470899e+01,2.453871900419001406e+01,8.457096026090741958e+00
1.370021935530688779e+02,1.843580358502468997e+01,4.955078557078516610e+01,1.421744600416883841e+01
4.785282531937171058e+01,1.093484743389585567e+01,2.190747295282641716e+01,8.374132264515198543e+00
1.124367193591661902e+02,2.579728825718978769e+00,4.605782886017399136e+01,3.944065992484549099e+01
3.692203272039996875e+01,8.296849364201042576e+00,8.504317815466455599e-03,7.283309469073310005e+00
1.038274006039512898e+02,1.169726665180063030e+01,4.844755547255268624e+01,9.371970274272953816e+00
1.954281306203058364e+02,1.733483396199739701e+01,3.070131350367791967e+01,1.110403169452325756e+01
4.391797340978381214e+01,1.454741152132395499e+01,1.892416247131606388e+00,7.357580729883674842e+00
1.284079674639627910e+02,7.407055190221800700e-01,4.563800232145006675e+01,2.814948077302997831e+01
1.510569238011886455e+02,9.719571511154395438e+00,2.508610630583471490e+01,1.024432224205818542e+01
1.950929984946643856e+02,8.963077676634522817e+00,2.832987833440413539e+01,1.108472011126532308e+01
1.966899977185218802e+02,1.940359891746855325e+01,2.811455761500803519e+01,1.096223380307796269e+01
3.297194337735894010e+01,1.925146199976756378e+01,3.141208094624601799e+01,8.352736815593186037e+00
1.270066344202664652e+02,8.850365078156707810e-01,2.035856473287315893e+01,9.324250788012170332e+00
1.386556064380350222e+02,5.434018178090964213e+00,3.968752155271653947e+01,1.240182381254438226e+01
2.781976203530899738e+01,1.554055691638008696e+01,3.479644923112955723e+01,8.745654847892584627e+00
4.972076552787757464e+01,1.305454321210440227e+01,4.615697563420915372e+01,2.802008568434931490e+01
1.735860967600401921e+02,1.134721762891794583e+01,3.481150214736802440e+01,8.500227726560051877e+00
2.905071085493913685e+01,6.902226890595883901e+00,2.396475360489604256e+01,8.733511956266745813e+00
1.012196540466771069e+02,7.972468279298317029e-01,3.488131952227427490e+01,9.319655396942266634e+00
3.710792185619061456e+01,1.880039002641087365e+01,2.125830109279208102e+01,8.361118685708337495e+00
5.448612858370147904e+01,2.128048295203779361e+00,3.332877672145780679e+01,1.062771705726918903e+01
1.197679461099060489e+02,1.318829857814192152e+01,7.207117693916337053e+00,9.284953532861020875e+00
1.102655682813973215e+02,1.167813773138105304e+01,2.235020389422001230e+01,9.337138064487691125e+00
1.448229285815120306e+02,1.686465343655638804e+01,3.124639837113612373e+01,1.142256176477600960e+01
1.425496555384864621e+02,1.972203058274008569e+01,4.376006183501813496e+01,3.533880055066495629e+01
7.295453507413199645e+01,1.904540574143505083e+00,3.123906443458820803e+01,1.043850302940638208e+01
1.796308796997804507e+02,6.964796452407662208e+00,3.621901828138196322e+01,1.051120368987762355e+01
2.687415755942191353e+01,1.870415595497500050e+01,2.855571385126976480e+01,8.448818289421536676e+00
5.922555504095083023e+01,1.752028554119229042e+01,1.336027853831848766e+01,7.864511156637842504e+00
1.980252670644938462e+02,2.106620543624981856e+00,1.286658153275627159e+00,6.070823119138453627e+00
1.471375799915375922e+02,1.685857208261526807e+01,2.445397553033523153e+01,1.017523588395622447e+01
1.480739303975668406e+02,7.726613439549332440e+00,9.089842703570615967e+00,9.428622818395737681e+00
6.733004531801313419e+01,4.310707068340109416e+00,1.777387911651207020e+00,6.843309051598815529e+00
4.250244646425022665e+01,1.590865705762452720e+01,4.168150439958163389e+01,1.173054073911647066e+01
1.022541004744213211e+01,1.377531285684162299e+01,2.796010942660309695e+01,8.902292898526198428e+00
1.734296720092840971e+01,4.222978350988746854e+00,3.715464966725281215e+01,9.729728747362928587e+00
1.104015468598740597e+02,9.512483757439071930e-01,2.551317458943572092e+01,9.912851645442852799e+00
1.353321911681467782e+02,3.937554967063001676e+00,3.917078178364048568e+01,2.285384548073256994e+01
1.826343126859943595e+02,4.522351326690685624e+00,5.517178684444673742e+00,9.811150521376777789e+00
1.541454786373903971e+02,1.619019576697262863e+01,1.895260170646406195e+01,9.518264975005775952e+00
1.815270767039238251e+02,6.978048739644147069e+00,1.867489586546797753e+01,9.829420344849106428e+00
6.209179748527690634e+01,1.182342678181964146e+01,3.852270445757237383e+01,8.930425841800463616e+00
1.293227131826245113e+02,1.507534288504215070e+01,1.416080490917540047e+01,9.015208646482808064e+00
1.026092130838358401e+02,1.144757573700949393e+01,3.794444335595543549e+01,8.976317276308890314e+00
1.281369265032647036e+02,8.321393966179952528e+00,4.677809360211452372e+01,4.503522535832932761e+01
1.719014561823753695e+02,4.332814951288019856e+00,4.420053916471691480e+01,3.249027996793024897e+01
6.696237883798484347e+01,3.615518567021061003e+00,1.419423293772476491e+01,7.956995419985045892e+00
1.281442154153578485e+02,1.363475982789308460e+01,2.025557571433154180e+01,9.327031611761865904e+00
1.169516527971916844e+02,8.168912460829352185e+00,4.944344323417419673e+01,3.462990191136807994e+01
1.141669206570639545e+02,1.996279100170579213e+01,1.294962648670795424e+01,8.839352427760598374e+00
1.553999037897918925e+02,1.391263371446127728e+01,7.108045827987973908e+00,9.594918073140048520e+00
9.635649357805202442e+01,7.126806805855016691e+00,1.843987163087744108e+01,8.600611028336084374e+00
1.647463661837562938e+02,1.265251418113346737e+01,2.184457038473352597e+01,9.991019465620269102e+00
1.492866832377554545e+02,5.515356024046247363e+00,3.234181164227811678e+01,1.050307046919397536e+01
1.995634608679808508e+01,1.314955754041421443e+01,1.948194284516050345e+01,8.692305567481268369e+00
3.492977240044843512e+01,1.874577328675463761e+01,1.756998709930757840e+01,8.373403180730983664e+00
1.485275421750944531e+02,9.179579163369318451e+00,5.710765171518833228e+00,9.565430565184781742e+00
6.555765793924814488e+01,3.421302215061903240e+00,3.787018460343654880e+01,1.402029300892881203e+01
1.627984136457579041e+02,1.005666890628767085e+01,2.282541560541714176e+01,1.012283165656483419e+01
1.485322963340798594e+02,1.546988953131046074e+01,7.456847834809710029e+00,9.541357993300016105e+00
1.378619442066424483e+02,1.397567910034046967e+01,1.251190698927102574e+01,9.137899385257105322e+00
1.474879303134540010e+02,1.453996519250832620e+01,3.105916411748182782e+00,8.531810762066646348e+00
1.304707959619564122e+02,2.039341335350932649e+00,1.083598228102666816e+00,5.608770406890894122e+00
1.111280829350986465e+02,2.334925410750865460e-01,3.177485361642683515e+01,1.091596374632782940e+01
1.001592724260633105e+02,2.646144677685866586e+00,3.856907709097730219e+01,1.197216459777481212e+01
6.954419553564127909e+01,1.037422522045778805e+01,1.061127282173483444e+01,8.360763443646924031e+00
1.150715840484129870e+01,1.733345330234790094e+00,3.286373275592534782e+01,1.009624289653555351e+01
1.645769927403142674e+01,1.801791950105420170e+01,1.763298992102136964e+01,8.627440608452545234e+00
1.304634654669771976e+02,1.585933191993670022e+01,4.070859813771458846e+01,1.049644528777388430e+01
1.263648447062625166e+02,4.658692576300504484e+00,3.589196160015132619e+01,9.710799536663245135e+00
5.397331487781261927e+01,1.603816217672205724e+01,2.099691105578356343e+01,8.234442462253456441e+00
7.313414318449082430e+01,1.428849021754625426e+01,3.585074325749125990e+01,9.121087032984107168e+00
1.903766513688234170e+02,6.346880863340498280e-01,4.842071396483665779e+01,6.747144871565053847e+01
1.845787239248390392e+02,1.860010776391218101e+01,1.848161211976367468e+01,9.847198896113656730e+00
1.851789041854470383e+02,1.416075303514427830e+01,3.459150624685593556e+01,1.086278223315987645e+01
3.143617459969649275e+01,1.113624165892224482e+01,1.115874358951079515e+01,8.497208749110072290e+00
1.779440575484319425e+02,5.174670358790203650e+00,3.507564573078153813e+01,1.071597259894986287e+01
1.266690430255151227e+02,8.951919468992581841e+00,4.530491128045161275e+01,1.416528100756878317e+01
6.440199757853528695e+01,7.045025084516063352e+00,1.784320120757455896e+01,7.821185018545396161e+00
6.410972032706732193e+01,1.212009742265190759e+01,4.086199590417642469e+01,2.331836263631032580e+01
7.542472077564386268e+01,3.728245271378873849e+00,4.509586563991330621e+00,8.867300323512068871e+00
2.517958249422493111e+01,1.450486502016769563e+01,1.332614185368882787e+01,8.541910738755380095e+00
1.364010524436395713e+02,1.752142301064158758e+01,3.998474167771618681e+01,1.176050520674214539e+01
1.912613854924575492e+02,8.290364390137803241e+00,7.273970959587422236e+00,9.875168816167294139e+00
5.179621176378766023e+01,1.402661805534132178e+01,4.529160135163005663e+01,5.927439202730062817e+01
1.690726447703456756e+02,1.921504102767299216e+01,2.536659677996416917e+01,1.046257371536954750e+01
9.462514124429904427e+01,1.789179777978353059e+01,3.163408740027818666e+01,1.081718235638708059e+01
1.067074017980870480e+02,1.644209419362376678e+01,4.661730960324727135e+01,1.776391297347504050e+01
1.282682083198917837e+02,2.497034804074276249e+00,9.916024001036454649e+00,9.223289908601987719e+00
1.182852442642324746e+02,1.855661010156022783e+01,2.422219739330931887e+01,9.829891720929765597e+00
1.729661322868187483e+02,1.517322800566540675e+00,2.637203514032176344e+01,1.061285166149401427e+01
2.200932704365198589e+01,7.554034821757342755e+00,1.053578449171723719e+01,8.806859023859180624e+00
1.998181846504706698e+02,2.923267090293761861e+00,1.817650967989749589e+01,1.013937118599813481e+01
1.601255960987734852e+02,1.960225859143426064e+01,4.244715424423684169e+01,2.708363496981298013e+01
5.071272016589633580e+01,3.292919183076341572e+00,4.341185721803849873e+01,1.004158953250070141e+01
9.707053180132538728e+01,5.739134992638219579e+00,6.587691692528424348e+00,9.160945019075203533e+00
1.745261384424783841e+02,1.052390775364249187e+01,2.368583981116908888e+01,1.025943826896289579e+01
1.593320733492823251e+02,1.273147085587235772e+01,4.550510415468761671e+00,9.446027105846731331e+00
1.616713131289613159e+02,1.639359586967117721e+01,4.442114632390878626e+01,3.577629521586627703e+01
1.157701057584674800e+02,2.838840935969833001e+00,3.469609492908596593e+01,9.008120116711900494e+00
1.569169919018663109e+02,1.132035364148353551e+01,3.684119538822495343e+01,1.647857681774411631e+01
1.382735744902841546e+01,8.617386979913570499e+00,4.476326458506842698e+01,1.119855959278670277e+01
1.194642904709959055e+02,1.123658077725913085e+00,7.262346817819831379e+00,9.311306538984423398e+00
9.095789747485304133e+01,1.771018061360576468e+01,2.539072237651194186e+01,9.657893523750242792e+00
1.617528047052944657e+02,1.396449708766153464e+01,3.844358375777640902e+01,1.486782816273491648e+01
1.651271181017888523e+02,1.950703812552858807e+01,3.146315064416142349e+01,1.094589272866607566e+01
1.056587982577679128e+02,1.209726391690508152e+01,1.398499599738881116e+01,8.705327629748699891e+00
1.697245118612402592e+01,3.934514155338482144e+00,3.843362289752641203e+01,3.196654565560110228e+01
4.268174987047600411e+01,4.819111240511815275e+00,4.961700466650509345e-01,6.952769022755338924e+00
1.634047868106988233e+02,1.632265360889716277e+01,4.733942636649887703e+01,2.941249840191103360e+01
5.252254920851579811e+01,1.047668262199358047e+01,1.137415275896684363e+01,7.913007228224470779e+00
1.154108683760647978e+02,1.727721100106843011e+01,2.880113465946189777e+01,1.046961980433709982e+01
2.844632330094342265e+01,6.504178375083757402e+00,4.492227627712472326e+01,1.791458277043473046e+01
8.695830344475244544e+01,1.623793035001434859e+01,1.649494413540449500e+01,8.279281734205815368e+00
9.685603706850947958e+01,1.200955912735981457e+01,3.886990188314098926e+00,8.866863880335456471e+00
2.230701339188789234e+01,7.201329747191380193e+00,4.395589162290497676e+00,8.626696637549573055e+00
1.617703667195397941e+02,8.606148744781161319e-01,1.377884565645669568e+01,9.373209103594616565e+00
1.136399386294466041e+02,1.368138944605299123e+01,5.105819847156101154e+00,9.289492608859346134e+00
5.983916112981737712e+01,1.990967852472951449e+01,2.379774207325835533e+01,8.424343119208904440e+00
1.703737297885495749e+01,1.345039591060112727e+01,2.469481405735187707e+01,8.743888027509392202e+00
9.031982319505891610e+01,3.095129842682351473e+00,4.590234434024405630e+01,3.973890397548385067e+01
1.118119590740438696e+02,1.361176711721937593e+01,3.557436843708480012e+01,8.467949205757619779e+00
8.585953203277593104e+01,1.972604807559834939e+01,2.705965967953650164e+01,9.991292259864563263e+00
1.244819957330024209e+02,7.510222503456391863e+00,4.150933854431759329e+01,1.538085631886594129e+01
1.171991631670496474e+02,1.047131742428901724e+00,2.070380834434863004e+01,9.186811895045810417e+00
6.058957931032153255e+01,1.723776025564025360e+01,3.663841805029552745e+01,8.665272126013904952e+00
1.843596860980070460e+02,2.773014599117495926e-01,2.783095660948189831e+01,1.087238273292340729e+01
4.324253004008922829e+01,2.698178710579535178e-01,6.070081832547796985e+00,8.303258768470797690e+00
1.721827757855613186e+02,8.510935376024903576e+00,4.699828546386709860e+01,6.246373925780096670e+01
3.788101228474171478e+01,2.525253188441602958e+00,4.472107248943974867e+01,1.949446723436408391e+01
1.090896215440102850e+02,1.926062454200899410e+01,3.298706857267208647e+01,1.075060629292961423e+01
1.602853720336911181e+02,1.773195568074796835e+00,5.668202628012308786e+00,9.680435559421558978e+00
1.142030345526393376e+02,2.142474812758243807e-01,3.106213815364593955e+01,1.084839812474340981e+01
1.876306926415672081e+02,1.904976389306082751e+01,3.909079247863637363e+01,2.505667912700950950e+01
7.344533110337371795e+01,3.868404952219766102e+00,2.574308671802573656e+01,9.587438712840851807e+00
1.094475683206543124e+02,1.307395832986599338e+01,3.586895979588245353e+01,1.101630413365182015e+01
1.847488607020629559e+02,1.466893090436617264e+01,1.379624042940268325e+01,9.683673397203094169e+00
8.276721443753967833e+01,9.914211107185948890e+00,3.998351660171579169e+01,9.229611968579686021e+00
1.672711354968100466e+02,8.306183420416761720e+00,8.766983725079269263e+00,9.595868016778160481e+00
